Month,Total Energy Consumed 
01-06-2014,1478.654
01-07-2014,1645.887
01-08-2014,1616.232
01-09-2014,1428.555
01-10-2014,1331.478
01-11-2014,1773.932
01-12-2014,2164.807
01-01-2015,2580.929
01-02-2015,2377.381
01-03-2015,1972.902
01-04-2015,1344.384
01-05-2015,1290.396
01-06-2015,1466.241
01-07-2015,1712.66
01-08-2015,1666.388
01-09-2015,1434.699
01-10-2015,1328.016
01-11-2015,1525.757
01-12-2015,1922.859
01-01-2016,2424.517
01-02-2016,2003.172
01-03-2016,1589.631
01-04-2016,1342.11
01-05-2016,1278.117
01-06-2016,1511.27
01-07-2016,1795.383
01-08-2016,1750.524
01-09-2016,1458.755
01-10-2016,1309.835
01-11-2016,1453.555
01-12-2016,2269.472
01-01-2017,2345.103
01-02-2017,1730.556
01-03-2017,1791.49
01-04-2017,1309.744
01-05-2017,1316.979
01-06-2017,1463.766
01-07-2017,1721.174
01-08-2017,1598.033
01-09-2017,1362.79
01-10-2017,1335.691
01-11-2017,1618.332
01-12-2017,2296.68
01-01-2018,2738.076
01-02-2018,1978.829
01-03-2018,1914.282
01-04-2018,1549.317
01-05-2018,1358.8
01-06-2018,1536.406
01-07-2018,1753.123
01-08-2018,1702.151
01-09-2018,1457.597
01-10-2018,1429.831
01-11-2018,1852.441
01-12-2018,2240.258
01-01-2019,2536.898
01-02-2019,2156.175
01-03-2019,2002.936
01-04-2019,1361.874
01-05-2019,1356.223
01-06-2019,1434.287
01-07-2019,1734.089
01-08-2019,1677.96
01-09-2019,1466.196
01-10-2019,1374.674
01-11-2019,1809.114
01-12-2019,2163.747
01-01-2020,2242.462
01-02-2020,2011.541
01-03-2020,1692.834
01-04-2020,1460.65
01-05-2020,1428.359
01-06-2020,1541.875
01-07-2020,1840.435
01-08-2020,1750.274
01-09-2020,1419.171
01-10-2020,1372.201
01-11-2020,1567.707
01-12-2020,2274.277
01-01-2021,2451.101
01-02-2021,2350.977
01-03-2021,1856.031
01-04-2021,1397.144
01-05-2021,1358.566
01-06-2021,1564.205
01-07-2021,1737.442
01-08-2021,1755.212
01-09-2021,1456.901
01-10-2021,1315.799
01-11-2021,1644.306
01-12-2021,2032.352
